name,rating,transactions,price,label
Foxy's Landing & Restaurant,4,[],2,POSITIF
Mosman's Steakhouse,3.5,[],2,POSITIF
El Tamarindo,3.5,[],1,POSITIF
Subway,2.5,"['delivery', 'pickup']",1,NEGATIF
Little Caesars,1.5,[],1,NEGATIF
Vos Pupusas,4,[],0,POSITIF
El Buen Taco,4,[],0,POSITIF
Panda Express,2,"['delivery', 'pickup']",2,NEGATIF
Jack in the Box,3,['delivery'],1,NEGATIF
In-N-Out Burger,4,[],1,POSITIF
Street Tacos,3.5,[],0,POSITIF
McDonald's,1.5,['delivery'],1,NEGATIF
Jim's Happy CHicken,3.5,[],0,POSITIF
Tacos Si Senor,3.5,['delivery'],1,POSITIF
Barone's Pizza,3.5,"['pickup', 'delivery']",2,POSITIF
IHOP,2.5,"['pickup', 'delivery']",2,NEGATIF
Juanito's Place,4,['delivery'],1,POSITIF
Los 3 Compadres,3,['delivery'],2,NEGATIF
Hong Kong Express,3,['delivery'],1,NEGATIF
Taco Bell,2,['delivery'],1,NEGATIF
Mi Ranchito,3.5,"['pickup', 'delivery']",1,POSITIF
Frosty King,3.5,['pickup'],1,POSITIF
Wendy's,2,['delivery'],1,NEGATIF
Don Gus Mexican & Seafood,4.5,"['delivery', 'pickup']",2,POSITIF
Denny's,3,"['delivery', 'pickup']",2,NEGATIF
Mom's Tamal,5,[],0,POSITIF
KFC,1.5,"['pickup', 'delivery']",1,NEGATIF
Crazy Otto's,3.5,['pickup'],2,POSITIF
Del Taco,2.5,"['pickup', 'delivery']",1,NEGATIF
Mom's Teriyaki & Bowl,3.5,['delivery'],1,POSITIF
Maxdons Bar And-Grill,3.5,['delivery'],2,POSITIF
Burger King,1.5,['delivery'],1,NEGATIF
Panda Wok,4.5,['delivery'],0,POSITIF
Restaurant at Arbor Court,1,[],2,NEGATIF
Gino's Italian Restaurant - Lancaster West,3.5,"['delivery', 'pickup']",2,POSITIF
Bahama Mama's,1,[],0,NEGATIF
Pizza Hut,1.5,"['pickup', 'delivery']",1,NEGATIF
Borinquen,5,"['pickup', 'delivery']",0,POSITIF
Sakura Buffet,3,['delivery'],2,NEGATIF
Olives Mediterranean Café,4.5,['pickup'],2,POSITIF
ColdCrush,3,"['delivery', 'pickup']",2,NEGATIF
1800blvd,4,['delivery'],1,POSITIF
The Modern Tea Room,5,"['delivery', 'pickup']",2,POSITIF
Zero Degrees Custard and Italian Ice,4.5,[],1,POSITIF
Me Gusta Mexican Food Specialties,4,[],0,POSITIF
Lucky Luke Brewpub,4.5,['delivery'],2,POSITIF
Pueblo Viejo Restaurant,3,['delivery'],2,NEGATIF
Rio Brazilian Grill,3.5,"['delivery', 'pickup']",2,POSITIF
Little Szechwan,4,['delivery'],1,POSITIF
Temptations Creole Cuisine,2,[],0,NEGATIF
Cuban Express,4.5,"['delivery', 'pickup']",1,POSITIF
Sassy Bird,4,"['delivery', 'pickup']",2,POSITIF
Cantarito Restaurant,4,"['delivery', 'pickup']",2,POSITIF
On The Blvd Brooklyn Deli,3.5,"['delivery', 'pickup']",2,POSITIF
Don Sal Cocina & Cantina,3.5,"['delivery', 'pickup']",2,POSITIF
Buckle & Boots,3.5,"['delivery', 'pickup']",0,POSITIF
Azteca restaurant,3.5,['delivery'],2,POSITIF
The Elm Cuisine,3.5,"['delivery', 'pickup']",2,POSITIF
Teclena Flores,2.5,[],1,NEGATIF
Mora Mexican Salvadoran Restaurant,1,[],0,NEGATIF
McDonald's,1,['delivery'],1,NEGATIF
Rancheritas Mexican Grill,4,['delivery'],1,POSITIF
K-BOB,4,"['restaurant_reservation', 'delivery', 'pickup']",2,POSITIF
La Papillon Steak & Seafood,4,"['pickup', 'delivery']",0,POSITIF
Downtown Bistro,4,[],2,POSITIF
Katz N' Jammers Cafe,4.5,['delivery'],2,POSITIF
The Thai Restaurant,4.5,"['delivery', 'pickup']",2,POSITIF
Delicious Burgers,4,['delivery'],1,POSITIF
Black Angus Steakhouse,3.5,"['pickup', 'delivery']",2,POSITIF
Primo Cafe,3.5,"['pickup', 'delivery']",1,POSITIF
McDonald's,1.5,['delivery'],1,NEGATIF
Korean BBQ and Market,4,['delivery'],1,POSITIF
Big Shotz Bar & Grill,4.5,['delivery'],1,POSITIF
Casita Lopez,4,[],1,POSITIF
Jersey Mike's Subs,3.5,"['pickup', 'delivery']",0,POSITIF
Nena's Bakery & Restaurant,4,[],2,POSITIF
Luis's Restaurant,4,[],0,POSITIF
Great Wall,3,"['pickup', 'delivery']",1,NEGATIF
The White House,4,['delivery'],1,POSITIF
Wingstop,2.5,[],1,NEGATIF
Panda Express,2.5,"['pickup', 'delivery']",1,NEGATIF
Luis’s Mexican & Seafood,5,[],0,POSITIF
Chuck E. Cheese,2,"['pickup', 'delivery']",2,NEGATIF
Lousiana Famous Fried Chicken and Pizza,3,['delivery'],1,NEGATIF
Cancun De Noche,4,[],0,POSITIF
Izzys Taco House,4,[],0,POSITIF
Subway,3,"['delivery', 'pickup']",1,NEGATIF
Malhi's Indian Cuisine,3.5,"['delivery', 'pickup']",2,POSITIF
Boba Cove & Cafe,4.5,['pickup'],1,POSITIF
Mi Ranchito Mexican Bar And Grill,2.5,"['pickup', 'delivery']",0,NEGATIF
KFC,1.5,"['delivery', 'pickup']",1,NEGATIF
Jack in the Box,1.5,['delivery'],1,NEGATIF
Papa John's Pizza,3.5,"['pickup', 'delivery']",1,POSITIF
AV Kabob House,3.5,['delivery'],1,POSITIF
Tacos Gonzalez,3.5,['delivery'],0,POSITIF
Boom Chicken,3.5,['delivery'],0,POSITIF
Tom's Famous Family Restaurant,3,['delivery'],1,NEGATIF
Panda Express,2.5,"['delivery', 'pickup']",1,NEGATIF
Carl's Jr,2,[],1,NEGATIF
Domino's Pizza,2,[],1,NEGATIF
Dragon Garden Chinese Cuisine,4,"['delivery', 'pickup']",1,POSITIF
Bubbakoo’s Burrito,2.5,"['pickup', 'delivery']",2,NEGATIF
Popeyes Louisiana Kitchen,1.5,[],1,NEGATIF
A1 Kabob,4,"['delivery', 'pickup']",1,POSITIF
Wienerschnitzel,2,['delivery'],1,NEGATIF
El Pollo Loco,2.5,"['pickup', 'delivery']",1,NEGATIF
Fish N Chips - Donuts N Cakes,3.5,"['delivery', 'pickup']",1,POSITIF
Doublz,3,['delivery'],1,NEGATIF
Lunch Stop,4,[],0,POSITIF
Captain Tony's Pizza & Pasta Emporium,3.5,['delivery'],1,POSITIF
Lucky Shoe Kitchen,5,[],0,POSITIF
Guido's Pizza & Pasta,2,[],1,NEGATIF
El Pollo Loco,2.5,['delivery'],1,NEGATIF
El Chilaquil Mexican and Seafood Restaurant,3.5,"['pickup', 'delivery']",1,POSITIF
El Buen Gusto Restaurant,3.5,[],1,POSITIF
McDonald's,1.5,['delivery'],1,NEGATIF
Taco Bell,2,['delivery'],1,NEGATIF
Mr Wok,2,['delivery'],1,NEGATIF
Subway,2.5,"['pickup', 'delivery']",1,NEGATIF
CC Hawaiian BBQ,4.5,"['pickup', 'delivery']",1,POSITIF
Burrolandia Mexican Grill,4.5,['delivery'],1,POSITIF
Pho Stop,3.5,['delivery'],1,POSITIF
The Workz,3.5,"['delivery', 'pickup']",1,POSITIF
Carl's Jr,2.5,[],1,NEGATIF
Sub Machine,4,"['pickup', 'delivery']",1,POSITIF
Gino's Italian Restaurant,3.5,"['pickup', 'delivery']",2,POSITIF
The Cafe on J,2.5,[],0,NEGATIF
Pasqually's Pizza & Wings,1,[],0,NEGATIF
Subway,2,"['delivery', 'pickup']",1,NEGATIF
Subway,3.5,"['pickup', 'delivery']",1,POSITIF
Little Caesars,2,[],1,NEGATIF
Wingstop,2,[],2,NEGATIF
Pizza Hut,2,"['pickup', 'delivery']",1,NEGATIF
Louis Burgers,2.5,['delivery'],1,NEGATIF
Natcheryl's Cafe,4.5,['delivery'],1,POSITIF
The Village Grille,4,['delivery'],1,POSITIF
Medrano's Mexican Restaurant,3,"['delivery', 'pickup']",2,NEGATIF
El Dorado Restaurant Bar and Dancing,1,[],1,NEGATIF
Primo Burger,3,['delivery'],1,NEGATIF
Miso Sushi,3,"['delivery', 'pickup']",2,NEGATIF
Family Fish Market,3,[],2,NEGATIF
Pepe El Toro,4.5,['delivery'],1,POSITIF
AM Cafe,4,['pickup'],1,POSITIF
Granada Room Restaurant,2.5,[],2,NEGATIF
El Toreo Far West,3.5,[],2,POSITIF
Del Taco,2,['delivery'],1,NEGATIF
